date,m60,m120,vol60,size
2023-01-05,-0.10442158984282836,-0.0862484943291542,-0.08494962147136703,-0.08771854137972167
2023-01-06,-0.10452481252557405,-0.08603444708419286,-0.08551435248668354,-0.08869987597176719
2023-01-09,-0.10478303645650873,-0.08625002246112473,-0.08616850750966298,-0.08852164489302786
2023-01-10,-0.10506201257409951,-0.08649720612075631,-0.0869404714225743,-0.0881752985477296
2023-01-11,-0.10513512201463167,-0.08666917700305084,-0.08762802240131594,-0.0874385553353967
2023-02-02,-0.10439560088690324,-0.0856877276312917,-0.0883913537077159,-0.08703101528814891
2023-02-03,-0.10351867103454404,-0.08460195045279785,-0.08921096578447905,-0.08741780639775666
2023-02-06,-0.10259956100105488,-0.08369176633105908,-0.09002968604436237,-0.0880366309992209
2023-02-07,-0.10145442977558344,-0.08247024251054258,-0.09098837393507472,-0.08920732144613902
2023-02-17,-0.10054347618854134,-0.08149593704333842,-0.09205732663739259,-0.09099522680391416
2023-02-20,-0.09962988479738828,-0.0808952220843758,-0.09291779753774677,-0.09300275934720412
2023-02-21,-0.09845840363788093,-0.07999481266175039,-0.09345685193619795,-0.0948563032194422
2023-02-22,-0.0972556117691803,-0.07912974228924302,-0.09399470477597456,-0.0971051979911953
2023-02-23,-0.0957083118442702,-0.07819575129163084,-0.09429274720455626,-0.09894230585337016
2023-02-24,-0.09401549087273152,-0.07729087587265138,-0.09431958291202637,-0.10081641296459842
2023-02-27,-0.09217572669291194,-0.07590819355179691,-0.09424736611177588,-0.10301242604952009
2023-02-28,-0.09033441341005446,-0.07404296594469384,-0.09440397495701174,-0.10528135850848451
2023-03-01,-0.0888259112093785,-0.0722908106512098,-0.09445574615685044,-0.10714109673017591
2023-03-02,-0.08756918663808919,-0.07099784825937296,-0.09416731854581421,-0.10882920189440552
2023-03-03,-0.08609384206373015,-0.06943538916834587,-0.09363354957713484,-0.11013075461068372
2023-03-06,-0.08407732378587587,-0.06787345843999,-0.09312982501277269,-0.1116271465063887
2023-03-07,-0.08187118538072186,-0.0662088482810721,-0.09248425032550443,-0.11312219652102203
2023-03-08,-0.07997170795927126,-0.06445237630088481,-0.09196577303997786,-0.11462592545494928
2023-03-09,-0.07806666541426104,-0.06258258297484277,-0.09130828643687905,-0.1160618542078989
2023-03-10,-0.07632803729678088,-0.06077324962476258,-0.09058589103470563,-0.11774291442444901
2023-03-13,-0.07477062525797439,-0.05958798473358218,-0.08988949821431322,-0.11932126871036305
2023-03-14,-0.07292375057395793,-0.05801611717097471,-0.08931524455595798,-0.12122319515185563
2023-03-15,-0.07140693586021694,-0.05635041254198691,-0.08878918355760707,-0.12292876372819299
2023-03-16,-0.0704800762537262,-0.055178275931997596,-0.08776145312159853,-0.12371769997099198
2023-03-17,-0.06935510836270253,-0.054062700203952485,-0.08685486791219342,-0.12417760379978485
2023-03-20,-0.06774112349804964,-0.0519730549924763,-0.08627162128616818,-0.12459807165654502
2023-03-21,-0.06577155115786602,-0.04926306077810507,-0.08609967892547075,-0.1253646352289298
2023-03-22,-0.06374567243693545,-0.04637221808980929,-0.08646353821843214,-0.12582270160163986
2023-03-23,-0.06206814697607471,-0.04367217799654793,-0.08705157289698608,-0.12680684043966545
2023-03-24,-0.060337407366050824,-0.04086615214028033,-0.088067489039029,-0.12796457461380265
2023-03-27,-0.05927212194558831,-0.03896466169974757,-0.09006072354457878,-0.1290412535747651
2023-03-28,-0.05832559739920635,-0.03715687030649483,-0.09170283188747393,-0.13034936640816272
2023-03-29,-0.057107477394154504,-0.035075219997968685,-0.09304667559584966,-0.1314982222206217
2023-03-30,-0.05601677632027114,-0.033108183092212695,-0.09498609280098971,-0.13272249096602307
2023-03-31,-0.05505473660158965,-0.03161961515470769,-0.09706793901991348,-0.13386854764991235
2023-04-03,-0.05448542859508692,-0.030494070427122693,-0.09885482309398948,-0.13504048572256702
2023-04-04,-0.054014319307018784,-0.02951613076840301,-0.10104357233121246,-0.13624106239844017
2023-04-06,-0.054015629767911015,-0.029090141636749958,-0.10316705968396382,-0.13723870468336294
2023-04-07,-0.05420444562179964,-0.02904380531141014,-0.10479734530439723,-0.13815693239399865
2023-04-10,-0.0543211649557222,-0.028704421767694627,-0.10633363528025594,-0.13895905333186984
2023-04-11,-0.054767338952701014,-0.028584179389058887,-0.10756280408376317,-0.13931894727208752
2023-04-12,-0.055530571234208986,-0.02897002836767204,-0.10889650883264317,-0.13937312834836818
2023-04-13,-0.055919633486184186,-0.028799036258955853,-0.10998405186138178,-0.13941817500910075
2023-04-14,-0.05596223192015039,-0.028161619937405905,-0.11063364840333957,-0.13957422315399293
2023-04-18,-0.05591941787958783,-0.027827630048268933,-0.11075422209361484,-0.13927682979323183
2023-04-19,-0.05615845010131632,-0.027990299961194582,-0.11098351707300824,-0.13882589834583206
2023-04-20,-0.05684763739341311,-0.028942093430772604,-0.11112204165277859,-0.13806015667203597
2023-04-21,-0.05742725056904906,-0.029751066602630327,-0.11083642880558937,-0.1370519136574775
2023-04-24,-0.057808807988323815,-0.030605971230268206,-0.11050507379443142,-0.13563820254748313
2023-04-25,-0.058057570973862875,-0.03146520394819531,-0.10987248003966646,-0.13411681381726526
2023-04-26,-0.05744541271766024,-0.031155857600460163,-0.10895771277999218,-0.13253278885016886
2023-04-27,-0.05629088017922498,-0.030255333600748727,-0.10753590717099445,-0.13103269255973332
2023-04-28,-0.0552334451239827,-0.029500236853365436,-0.106230269589504,-0.1299227639952695
2023-05-04,-0.05448611875599083,-0.028976978163122488,-0.10400227696742272,-0.1280869440795303
2023-05-05,-0.05414553159280694,-0.029106321572611418,-0.10139948575978573,-0.12618664289998682
2023-05-08,-0.05403127690430153,-0.02911493138777072,-0.09874930946428924,-0.12393807893358186
2023-05-09,-0.05394260587100574,-0.02894663108191432,-0.09610407775501811,-0.12153417052343496
2023-05-10,-0.05273382095835679,-0.0276332813187975,-0.09394761328465463,-0.11933768586145636
2023-05-11,-0.05180219302041895,-0.02608807354340193,-0.09239819126092207,-0.11764591644342409
2023-05-12,-0.05097426113938733,-0.024690753848232282,-0.09021648469947786,-0.1159119997958832
2023-05-15,-0.05049373397585392,-0.02332372428809227,-0.08797735104659687,-0.11412493078451952
2023-05-16,-0.04961639910837126,-0.02170854460045211,-0.08541815513764728,-0.1123453307233278
2023-05-17,-0.04872471000972817,-0.020106121234903473,-0.08294537704910562,-0.11055483898109798
2023-05-18,-0.048521879018719835,-0.019556021961405365,-0.08108498528723604,-0.1087093147983806
2023-05-19,-0.04795943840477165,-0.01883153185929473,-0.07981481442025175,-0.10765237901251637
2023-05-22,-0.047476226254690175,-0.01779869193851432,-0.07796367784005113,-0.10637204059448578
2023-05-23,-0.04690101634484467,-0.016519977303613584,-0.07639026553009329,-0.10564150389071646
2023-05-24,-0.04598924397202346,-0.014996344505651907,-0.07493264461184887,-0.1051615554553643
2023-05-25,-0.045326861782547676,-0.01372574510189329,-0.07439920910304391,-0.10552409922695305
2023-05-26,-0.04528054794067564,-0.013143486734468801,-0.07382521838414667,-0.10550112322551407
2023-05-29,-0.04568175325592575,-0.01288355899980204,-0.07382603884180006,-0.10551541951263645
2023-05-30,-0.04598864542219963,-0.013312955842056468,-0.07447709144942573,-0.10512760328794206
2023-05-31,-0.04619360209303131,-0.013875691676218061,-0.07467283873961832,-0.10436947244052547
2023-06-01,-0.04630675861012872,-0.014106029960307333,-0.07482176696736428,-0.10369302252080811
2023-06-02,-0.0456809677590798,-0.01371306347564333,-0.07498628619276768,-0.10281859535898343
2023-06-05,-0.04549299774498818,-0.013789479895347541,-0.07546706659420938,-0.10210009742894977
2023-06-06,-0.04535466443135191,-0.013782176668154544,-0.07556125625257315,-0.1014055109982258
2023-06-07,-0.046014547070829775,-0.014455688281654281,-0.07616869547573689,-0.10133961381341677
2023-06-08,-0.04669970028603309,-0.015065703680066716,-0.07646510510631296,-0.10092842721729196
2023-06-09,-0.047155433992998326,-0.015554565986119637,-0.07727482512785565,-0.10106135559053328
2023-06-12,-0.047342724081766235,-0.015796373673247398,-0.07834167988929168,-0.10164477728828865
2023-06-13,-0.047969682820666465,-0.016552414650464954,-0.0794500950099977,-0.10191228676927412
2023-06-14,-0.04875779454716173,-0.01744548618586559,-0.08043104822970838,-0.1022325281832395
2023-06-27,-0.04972423380662693,-0.01816482316823658,-0.08180532078624694,-0.10302428585619415
2023-07-03,-0.05076474967992053,-0.018821218724260933,-0.08311379805698403,-0.10392208952076346
2023-07-04,-0.05174363996144213,-0.019305805314225717,-0.08439880004248707,-0.10505038037530119
2023-07-05,-0.05278704240806658,-0.019781379281853015,-0.08586844774680819,-0.10603292235003464
2023-07-06,-0.05409068213690825,-0.020520614254644305,-0.08725835761892974,-0.10662844207647901
2023-07-07,-0.055547316840471726,-0.02110029404091879,-0.08788385199939473,-0.10665860235126977
2023-07-10,-0.056800107009518055,-0.021168371394010992,-0.08834581453032278,-0.1067585209074701
2023-07-11,-0.058563468500370745,-0.021480222765285075,-0.0884111899104193,-0.10659525480512079
2023-07-12,-0.060576641401604896,-0.021913182874438206,-0.0880528620050241,-0.1060250793865366
2023-07-13,-0.06272577840315248,-0.022844643493067217,-0.08816055011294101,-0.10558641639774254
2023-07-14,-0.06447459837629699,-0.02406585416889627,-0.08879907481599213,-0.10556964024532378
2023-07-17,-0.06561298368264097,-0.024993469673405076,-0.08939656880682277,-0.10609655415458596
2023-07-18,-0.066467806458646,-0.025504689217955245,-0.09003857659168771,-0.10681220425047812
2023-07-19,-0.06738678981622573,-0.026110849306434075,-0.09052310060823941,-0.10720034951296936
2023-07-20,-0.06813186319664374,-0.026324833911025167,-0.09087166259166149,-0.10724058521687753
2023-07-21,-0.0689646940787357,-0.026480898330437336,-0.09075089276645816,-0.10699078660353364
2023-07-24,-0.06990284482323027,-0.02672982628839087,-0.09048472903121771,-0.10658427657478707
2023-07-25,-0.07060746724463746,-0.026404722290774854,-0.08988639095503215,-0.10644588150702954
2023-07-26,-0.07115861717990925,-0.025957866166958533,-0.08979275042889664,-0.10689228950376242
2023-07-27,-0.07201536891266341,-0.025825960052298022,-0.08960768760963962,-0.1063544802438968
